index,specific_price,molecular_formula
Graphite,0.3922,C6
Graphite,0.34609999999999996,C6
Graphite,0.3922,C6
Graphite,0.901,C6
H2SO4,0.295,H2SO4
H3N,0.9908333333333332,H3N
HCl,0.95,HCl
Hf,3.5,Hf
Hitec XL,3.6625,(NaNO3)7(KNO3)45(Ca(NO3)2)48
In,137.0,In
Iron Ore,0.10500000000000001,Fe2O3
Iron Ore,6.363333333333333,Fe2O3
K2CO3,0.7333333333333334,K2CO3
K2O,0.34800000000000003,K2O
K2SO4,0.5206666666666666,K2SO4
KFRP,4.166666666666667,
KNO3,0.6816666666666666,KNO3
LCO,8.0,LiCoO2
Li2CO3,8.31,Li2CO3
Li2CO3,1.62,Li2CO3
Li2SO4,0.8,Li2SO4
LiCl,22.5,LiCl
LiF,23.0,LiF
LiOH,15.783000000000001,LiOH
Lithium Hydroxide Monohydrate,26.666,LiOH(H2O)
Lithium Hydroxide Monohydrate,7.333333333333333,LiOH(H2O)
Metallurgical Silicon,0.95,Si
Metallurgical Silicon,0.95,Si
Mg,1.125,Mg
Mg,2.408,Mg
Mg,0.915,Mg
Mg,2.299642857142857,Mg
Mg,3.08,Mg
Mg(NO3)2,0.49800000000000005,Mg(NO3)2
MgCO3,0.935,MgCO3
MgO,0.135,MgO
MgSO4,0.11214285714285714,MgSO4
Mischmetal,3.8466666666666662,C3CeH8LaNd
Mn,1.5914285714285714,Mn
Mn,1.7723333333333333,Mn
MnO2,0.515,MnO2
MnSO4,0.35,MnSO4
MoO3,30.5,MoO3
Na,3.5,Na
Na2CO3,0.2057142857142857,Na2CO3
Na2CO3,0.21214285714285713,Na2CO3
Na2S,0.4266666666666667,Na2S
Na2SO4,0.076,Na2SO4
Na2Zn(OH)4,28.0,Na2Zn(OH)4
NaCl,15.047500000000001,NaCl
NaCl,15.150833333333333,NaCl
NaCl,0.044,NaCl
NaCl,0.1252,NaCl
NaCl,0.08433333333333333,NaCl
NaMo2O4,9.03,NaMo2O4
NaNO3,0.41000000000000003,NaNO3
Nb2O5,1.0,Nb2O5
Ni,7.03,Ni
Ni(OH)2,7.0,Ni(OH)2
Pb,1.5266666666666666,Pb
PbCO3,0.32999999999999996,PbCO3
Pd,3.013333333333333,Pd
Peat,0.41500000000000004,K
Phosphorite,57.170428571428566,Ca5(PO4)3F
Pumice,0.126,C28FH37O7
Quartz,0.27,SiO2
Re,2.031,Re
Re,1.8366666666666667,Re
Rh,3.27,Rh
S,0.319,S
Sand,0.6175,SiO2
Sb,4.833333333333333,Sb
Sb2O3,7.616666666666667,Sb2O3
Sb2O3,4.583333333333333,Sb2O3
Sc2O3,1100.0,Sc2O3
ScCl3,0.31999999999999995,ScCl3
ScI3,13.0,ScI3
SeO2,20.0,SeO2
Solar Salt,0.0842,NaNO3KNO3
Sr,3.0757499999999998,Sr
SrCO3,0.825,SrCO3
Steel,2.43,Fe
Steel,1.325,Fe
Steel,1.6931666666666665,Fe
Steel,0.8788333333333332,Fe
Steel,0.6686666666666667,Fe
Stone,0.15,Al2O5Si
Syenite,0.12571428571428572,Al2KNaO8Si2 
Synthetic NH3 (Haber-Bosch),21.22,NH3
TbO2,3.0,TbO2
Th,1.2633333333333334,Th
Ti,1.8963060000000003,Ti
Ti,20.0,Ti
Ti2S4,1.636,Ti2S4
TiCl4,1.1895,TiCl4
TiO2,1.9000000000000001,TiO2
TiO2,1.4,TiO2
TiO2,2.0965000000000003,TiO2
TiO2,2.0625,TiO2
VOSO4(H2O)4,0.1443142857142857,VOSO4(H2O)4
WO3,27.952,WO3
Zn,1.235,Zn
ZnBr2,3.1833333333333336,ZnBr2
ZnCl2,1.045245,ZnCl2
ZnSO4,0.9928571428571429,ZnSO4
Zr,0.85,Zr
ZrSiO4,0.6068571428571429,ZrSiO4
