,Commodity,price,price_units,price_info,Year,price_desc
81,Chromium,2549,dt,Ferrrochromium,2018,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
82,Chromium,2094,dt,Ferrrochromium,2019,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
83,Chromium,1878,dt,Ferrrochromium,2020,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
84,Chromium,2400,dt,Ferrrochromium,2021,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
85,Chromium,9675,dt,Metal,2017,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
86,Chromium,11344,dt,Metal,2018,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
87,Chromium,10393,dt,Metal,2019,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
88,Chromium,7931,dt,Metal,2020,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
89,Chromium,7500,dt,Metal,2021,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year."
90,Clays,49,dt,Ball,2017,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
91,Clays,55,dt,Ball,2018,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
92,Clays,56,dt,Ball,2019,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
93,Clays,58,dt,Ball,2020,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
94,Clays,64,dt,Ball,2021,"Price, ex-works, average unit value, dollars per ton: Ball clay. Data are estimated for the most recent year."
95,Clays,99,dt,Bentonite,2017,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
96,Clays,98,dt,Bentonite,2018,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
97,Clays,98,dt,Bentonite,2019,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
98,Clays,96,dt,Bentonite,2020,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
99,Clays,94,dt,Bentonite,2021,"Price, ex-works, average unit value, dollars per ton: Bentonite. Data are estimated for the most recent year."
100,Clays,15,dt,Common,2017,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
101,Clays,16,dt,Common,2018,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
102,Clays,17,dt,Common,2019,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
103,Clays,16,dt,Common,2020,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
104,Clays,16,dt,Common,2021,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
105,Clays,13,dt,Fire,2017,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
106,Clays,12,dt,Fire,2018,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
107,Clays,14,dt,Fire,2019,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
108,Clays,13,dt,Fire,2020,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
109,Clays,13,dt,Fire,2021,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
110,Clays,93,dt,Fullers,2017,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
111,Clays,88,dt,Fullers,2018,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
112,Clays,88,dt,Fullers,2019,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
113,Clays,89,dt,Fullers,2020,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
114,Clays,88,dt,Fullers,2021,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
115,Clays,158,dt,Kaolin,2017,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
116,Clays,160,dt,Kaolin,2018,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
117,Clays,162,dt,Kaolin,2019,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
118,Clays,160,dt,Kaolin,2020,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
119,Clays,160,dt,Kaolin,2021,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
120,Cobalt,26.97,dlb,Spot,2017,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
121,Cobalt,37.43,dlb,Spot,2018,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
122,Cobalt,16.95,dlb,Spot,2019,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
123,Cobalt,15.7,dlb,Spot,2020,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
124,Cobalt,23.0,dlb,Spot,2021,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
125,Cobalt,25.28,dlb,LME,2017,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
126,Cobalt,32.94,dlb,LME,2018,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
127,Cobalt,14.88,dlb,LME,2019,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
128,Cobalt,14.21,dlb,LME,2020,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
129,Cobalt,22.0,dlb,LME,2021,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
130,Copper,285.4,ctslb,US,2017,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
131,Copper,298.7,ctslb,US,2018,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
132,Copper,279.6,ctslb,US,2019,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
133,Copper,286.7,ctslb,US,2020,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
134,Copper,430.0,ctslb,US,2021,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
135,Copper,280.4,ctslb,COMEX,2017,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
136,Copper,292.6,ctslb,COMEX,2018,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
137,Copper,272.3,ctslb,COMEX,2019,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
138,Copper,279.9,ctslb,COMEX,2020,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
139,Copper,420.0,ctslb,COMEX,2021,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
140,Copper,279.5,ctslb,LME,2017,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
141,Copper,296.0,ctslb,LME,2018,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
142,Copper,272.4,ctslb,LME,2019,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
143,Copper,279.8,ctslb,LME,2020,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
144,Copper,420.0,ctslb,LME,2021,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
145,Diamond (Industrial),0.16,dct,Bort_Imports,2017,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
146,Diamond (Industrial),0.12,dct,Bort_Imports,2018,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
147,Diamond (Industrial),0.14,dct,Bort_Imports,2019,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
148,Diamond (Industrial),0.19,dct,Bort_Imports,2020,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
149,Diamond (Industrial),0.21,dct,Bort_Imports,2021,"Bort, grit, and dust and powder; natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
150,Diamond (Industrial),12.9,dct,Stones_Imports,2017,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
151,Diamond (Industrial),2.9,dct,Stones_Imports,2018,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
152,Diamond (Industrial),5.8,dct,Stones_Imports,2019,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
153,Diamond (Industrial),8.4,dct,Stones_Imports,2020,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
154,Diamond (Industrial),12.0,dct,Stones_Imports,2021,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
155,Diatomite,360,dt,,2017,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
156,Diatomite,330,dt,,2018,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
157,Diatomite,340,dt,,2019,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
158,Diatomite,330,dt,,2020,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
159,Diatomite,330,dt,,2021,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
160,Feldspar and Nepheline Syenite,62,dt,Feldspar,2017,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
161,Feldspar and Nepheline Syenite,97,dt,Feldspar,2018,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
162,Feldspar and Nepheline Syenite,107,dt,Feldspar,2019,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
163,Feldspar and Nepheline Syenite,108,dt,Feldspar,2020,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
164,Feldspar and Nepheline Syenite,110,dt,Feldspar,2021,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
165,Feldspar and Nepheline Syenite,61,dt,Nepheline_syenite,2017,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year."
166,Feldspar and Nepheline Syenite,76,dt,Nepheline_syenite,2018,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year."
167,Feldspar and Nepheline Syenite,156,dt,Nepheline_syenite,2019,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year."
168,Feldspar and Nepheline Syenite,163,dt,Nepheline_syenite,2020,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year."
169,Feldspar and Nepheline Syenite,170,dt,Nepheline_syenite,2021,"Price, average value, dollars per ton: Nepheline syenite, average unit value of imports. Data are estimated for the most recent year."
170,Iron Ore,78.54,dt,,2017,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year."
171,Iron Ore,93.0,dt,,2018,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year."
172,Iron Ore,92.94,dt,,2019,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year."
173,Iron Ore,91.27,dt,,2020,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year."
174,Iron Ore,94.0,dt,,2021,"Price: Average value reported by mines, dollars per ton. Data are estimated for the most recent year."
175,Iron Oxide Pigments,1.46,dkg,,2017,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year."
176,Iron Oxide Pigments,1.58,dkg,,2018,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year."
177,Iron Oxide Pigments,0.69,dkg,,2019,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year."
178,Iron Oxide Pigments,0.72,dkg,,2020,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year."
179,Iron Oxide Pigments,0.7,dkg,,2021,"Price: Average value, dollars per kilogram. Average unit value for finished iron oxide pigments sold or used by U.S. producers. Data are estimated for the most recent year."
180,Iron and Steel Scrap,265,dt,,2017,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM."
181,Iron and Steel Scrap,326,dt,,2018,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM."
182,Iron and Steel Scrap,249,dt,,2019,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM."
183,Iron and Steel Scrap,228,dt,,2020,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM."
184,Iron and Steel Scrap,435,dt,,2021,"Price, average, delivered, No. 1 heavy melting composite price, dollars per ton. Source: Fastmarkets AMM."
185,Iron and Steel Slag,24.5,dt,,2017,"Price: Average value, free on board plant, dollars per ton. Rounded to the nearest $0.50 per ton. Data are estimated for the most recent year."
186,Iron and Steel Slag,26.5,dt,,2018,"Price: Average value, free on board plant, dollars per ton. Rounded to the nearest $0.50 per ton. Data are estimated for the most recent year."
