index,search_text,price,min_order,Title,link,molecular_formula,min_quantity,min_unit,min_quantity_kg,min_unit_kg,specific_price
NiSO4,NiSO4 nickel sulphate,1.0,1 Kilogram,Electroplating Chemicals Nickel Sulfate Hexahydrate Niso4 .6h2o Inorganic Salts Nickel Sulphate,https://www.alibaba.com/product-detail/Electroplating-Chemicals-Nickel-Sulfate-Hexahydrate-Niso4_60768403347.html,,1.0,kg,1.0,1.0,1.0
FeSO4,Iron Sulfate FeSO4,78.0,25.0 Tons,High Purity FeSO4 .7H2O Chemical Formula Iron Sulfate / Ferrous Sulphate Light-green Crystal Price,https://www.alibaba.com/product-detail/High-Purity-FeSO4-7H2O-Chemical-Formula_1600437734265.html?s=p,,25.0,t,25000.0,1000.0,0.078
NiSO4,NiSO4 nickel sulphate,5.5,1000.0 Kilograms,High purity Factory Price Nickel Sulphate Hexahydrate Niso4 .6h2o CAS:10101-97-0 Nickel Sulfate,https://www.alibaba.com/product-detail/High-purity-Factory-Price-Nickel-Sulphate_1600103311459.html,,1000.0,kg,1000.0,1.0,5.5
NiSO4,NiSO4 nickel sulphate,18092.55,20.0 Metric Tons,Cheap 10101970 niso4 6h2o nickel sulfate hexahydrate nickel sulfate sulphate,https://www.alibaba.com/product-detail/Cheap-10101970-niso4-6h2o-nickel-sulfate_1600454183159.html,,20.0,t,20000.0,1000.0,18.09255
NiSO4,NiSO4 nickel sulphate,5.5,100 Kilograms,nickel sulfate 98% NiSO4 . 6H2O,https://www.alibaba.com/product-detail/nickel-sulfate-98-NiSO4-6H2O_1947058610.html,,100.0,kg,100.0,1.0,5.5
NiSO4,NiSO4 nickel sulphate,4500.0,20.0 Tons,Hot Sale Good Price Sulfate De Nickel NiSo4 Nickel Sulfate,https://www.alibaba.com/product-detail/Hot-Sale-Good-Price-Sulfate-De_1600268167218.html,,20.0,t,20000.0,1000.0,4.5
NiSO4,NiSO4 nickel sulphate,3.0,20.0 Kilograms,sulfate nickel / nickel sulfate niso4 /crude nickel sulfate,https://www.alibaba.com/product-detail/sulfate-nickel-nickel-sulfate-niso4-crude_1600455693237.html,,20.0,kg,20.0,1.0,3.0
NiSO4,NiSO4 nickel sulphate,5.0,1.0 Kilograms,Factory price Nickel sulfate with best price,https://www.alibaba.com/product-detail/Factory-price-Nickel-sulfate-with-best_1600277933847.html,,1.0,kg,1.0,1.0,5.0
FeSO4,Iron Sulfate FeSO4,40.0,27 Tons,Cheap price FeSO4 .7H2O Iron II Sulfate heptahydrate /ferrous sulphate / IRON VITRIOL,https://www.alibaba.com/product-detail/Cheap-price-FeSO4-7H2O-Iron-II_62519155580.html,,27.0,t,27000.0,1000.0,0.04
FeSO4,Iron Sulfate FeSO4,80.0,1.0 Metric Tons,Wholesale 86% min purity Dried Iron Sulfate / FeSO4 China Manufacturer,https://www.alibaba.com/product-detail/Wholesale-86-min-purity-Dried-Iron_1600329033822.html,,1.0,t,1000.0,1000.0,0.08
FeSO4,Iron Sulfate FeSO4,190.0,25 Metric Tons,Iron Sulphate Monohydrate Ferrous Sulphate Monohydrate FeSO4 .H2O Fe 30% powder,https://www.alibaba.com/product-detail/Iron-Sulphate-Monohydrate-Ferrous-Sulphate-Monohydrate_62551874815.html,,25.0,t,25000.0,1000.0,0.19
FeSO4,Iron Sulfate FeSO4,160.0,1.0 Tons,High Purity Feso4 Chemical Formula Iron Sulfate / Ferrous Sulphate Light-Green Crystal Price,https://www.alibaba.com/product-detail/High-Purity-Feso4-Chemical-Formula-Iron_1600416338804.html,,1.0,t,1000.0,1000.0,0.16
FeSO4,Iron Sulfate FeSO4,75.0,25.0 Tons,ferrous sulphate monohydrate feso4 .h2o with best price and large factory stock,https://www.alibaba.com/product-detail/ferrous-sulphate-monohydrate-feso4-h2o-with_1600156555472.html,,25.0,t,25000.0,1000.0,0.075
MgCO3,MgCO3 magnesium carbonate,10.0,1.0 Kilograms,High Quality Best Factory price Light Magnesium Carbonate for chalk CAS12125-28-9 MgCO3,https://www.alibaba.com/product-detail/High-Quality-Best-Factory-price-Light_1600374718841.html?s=p,,1.0,kg,1.0,1.0,10.0
Ca(NO3)2,Calcum nitrate Ca(NO3)2,670.0,10 Tons,China Supplier High Purity Factory direct sales 99% fertilizer Calcium Nitrate Ca ( NO3 ) 2,https://www.alibaba.com/product-detail/China-Supplier-High-Purity-Factory-direct_1600288887078.html,,10.0,t,10000.0,1000.0,0.67
MgCO3,MgCO3 magnesium carbonate,1.9,1 Kilogram,"Light Magnesium Carbonate ( MgCO3 ) ,sport use, dry hands",https://www.alibaba.com/product-detail/Light-Magnesium-Carbonate-MgCO3-sport-use_1600095438171.html,,1.0,kg,1.0,1.0,1.9
MgCO3,MgCO3 magnesium carbonate,2.6,500 Kilograms,Pure Bulk MgCO3 Magnesium Carbonate for Food Grade 20kg/bag,https://www.alibaba.com/product-detail/Pure-Bulk-MgCO3-Magnesium-Carbonate-for_60630661882.html,,500.0,kg,500.0,1.0,2.6
MgCO3,MgCO3 magnesium carbonate,970.0,1 Metric Ton,light magnesium carbonate mgco3 USP grade,https://www.alibaba.com/product-detail/light-magnesium-carbonate-mgco3-USP-grade_60611422537.html,,1.0,t,1000.0,1000.0,0.97
MgCO3,MgCO3 magnesium carbonate,0.5,1.0 Kilograms,industrial grade magnesium carbonate mgco3 bulk liquid magnesium carbonate,https://www.alibaba.com/product-detail/industrial-grade-magnesium-carbonate-mgco3-bulk_1600428523449.html,,1.0,kg,1.0,1.0,0.5
MgCO3,MgCO3 magnesium carbonate,80.0,1 Kilogram,wholesale magnesium carbonate powder with light/heavy type MgCO3 546-93-0,https://www.alibaba.com/product-detail/wholesale-magnesium-carbonate-powder-with-light_1600269204938.html,,1.0,kg,1.0,1.0,80.0
MgCO3,MgCO3 magnesium carbonate,1.0,25 Kilograms,Light MgCO3 Magnesium Carbonate Industry Grade,https://www.alibaba.com/product-detail/Light-MgCO3-Magnesium-Carbonate-Industry-Grade_62172341462.html,,25.0,kg,25.0,1.0,1.0
Ca(OH)2 ,Ca(OH)2 calcium hydrate,100.0,100 Metric Tons,Slaked Lime Powder Vietnam Export Min 90% Purity Calcium Hydroxide Low Iron Impurities,https://www.alibaba.com/product-detail/Slaked-Lime-Powder-Vietnam-Export-Min_10000007037993.html,,100.0,t,100000.0,1000.0,0.1
Ca(OH)2 ,Ca(OH)2 calcium hydrate,100.0,100 Metric Tons,Powder Hydrated Lime Slaked Lime Vietnam High Purity Calcium Hydroxide Low Iron Impurities,https://www.alibaba.com/product-detail/Powder-Hydrated-Lime-Slaked-Lime-Vietnam_1600468524924.html,,100.0,t,100000.0,1000.0,0.1
Ca(OH)2 ,Ca(OH)2 calcium hydrate,90.0,25.0 Tons,QUality Tope Quality food grade industrial grade Hydrated Lime Ca ( OH ) 2 Calcium Hydroxide hsca price white powder cas 1305-62-0,https://www.alibaba.com/product-detail/QUality-Tope-Quality-food-grade-industrial_60649197626.html,,25.0,t,25000.0,1000.0,0.09
Ca(OH)2 ,Ca(OH)2 calcium hydrate,0.1,25.0 Kilograms,Hydrated Lime powder / Ca ( OH ) 2 / Calcium Hydroxide/Slaked lime,https://www.alibaba.com/product-detail/Hydrated-Lime-powder-Ca-OH-2_1600088919125.html,,25.0,kg,25.0,1.0,0.1
Ca(OH)2 ,Ca(OH)2 calcium hydrate,100.0,1.0 Metric Tons,Calcium hydrate white powder caustic lime with high quality 85-99% purity industrial grade chemicals,https://www.alibaba.com/product-detail/Calcium-hydrate-white-powder-caustic-lime_1600458022773.html,,1.0,t,1000.0,1000.0,0.1
Ca(OH)2 ,Ca(OH)2 calcium hydrate,100.0,100 Metric Tons,Ca ( OH ) 2 high purity 92%+ from the premium Quality Limestone Sources Powder Form used in Building Construction,https://www.alibaba.com/product-detail/Ca-OH-2-high-purity-92_10000006693024.html,,100.0,t,100000.0,1000.0,0.1
BaCO3,BaCO3 barium carbonate,2.5,1.0 Kilograms,Free Flowing Barium Carbonate BaCO3 CAS No 513-77-9 Barium carbonate,https://www.alibaba.com/product-detail/Free-Flowing-Barium-Carbonate-BaCO3-CAS_1600269129121.html?s=p,,1.0,kg,1.0,1.0,2.5
BaCO3,BaCO3 barium carbonate,500.0,1.0 Metric Tons,High Quality Hot sale Barium carbonate /cas513-77-9/ BaCO3 for ceramic,https://www.alibaba.com/product-detail/High-Quality-Hot-sale-Barium-carbonate_1600294684173.html,,1.0,t,1000.0,1000.0,0.5
BaCO3,BaCO3 barium carbonate,300.0,27 Metric Tons,98.5% barium carbonate BaCO3 CAS NO.513-77-9,https://www.alibaba.com/product-detail/98-5-barium-carbonate-BaCO3-CAS_60774381695.html,,27.0,t,27000.0,1000.0,0.3
BaCO3,BaCO3 barium carbonate,400.0,10.0 Metric Tons,carbonate BaCO3 99.2% 513-77-9 Glass Industrial Barium Carbonate,https://www.alibaba.com/product-detail/carbonate-BaCO3-99-2-513-77_60150054058.html,,10.0,t,10000.0,1000.0,0.4
PbCO3,PbCO3 lead carbonate,1.0,1 Kilogram,High purity 99.0%min Lead Carbonate 598-63-0,https://www.alibaba.com/product-detail/High-purity-99-0-min-Lead_60478335472.html,,1.0,kg,1.0,1.0,1.0
PbCO3,PbCO3 lead carbonate,1.0,1 Kilogram,99.0%min Lead (II) Carbonate Basic 1319-46-6,https://www.alibaba.com/product-detail/99-0-min-Lead-II-Carbonate_60451110617.html,,1.0,kg,1.0,1.0,1.0
PbCO3,PbCO3 lead carbonate,1.0,1.0 Kilograms,Factory Supply high quality Lead carbonate basic/ Lead Hydroxyl Carbonate with best price CAS1319-46-6,https://www.alibaba.com/product-detail/Factory-Supply-high-quality-Lead-carbonate_1600456708446.html,,1.0,kg,1.0,1.0,1.0
PbCO3,PbCO3 lead carbonate,49.0,5 Metric Tons,Nano Precipitated calcium carbonate / Nano Light Calcium Carbonate / Heavy Calcium Carbonate,https://www.alibaba.com/product-detail/Nano-Precipitated-calcium-carbonate-Nano-Light_60347687333.html,,5.0,t,5000.0,1000.0,0.049
PbCO3,PbCO3 lead carbonate,100.0,5.0 Metric Tons,High Whiteness And Fineness Precipitated Calcium Carbonate Powder,https://www.alibaba.com/product-detail/High-Whiteness-And-Fineness-Precipitated-Calcium_1600231021021.html,,5.0,t,5000.0,1000.0,0.1
Mg(OH)2,Mg(OH)2 magnesium hydroxide,190.0,0.05 Tons,magnesium hydroxide mg ( oh ) 2,https://www.alibaba.com/product-detail/magnesium-hydroxide-mg-oh-2_1551590164.html,,0.05,t,50.0,1000.0,0.19
Mg(OH)2,Mg(OH)2 magnesium hydroxide,400.0,1 Metric Ton,Magnesium Hydroxide Mg ( oh ) 2,https://www.alibaba.com/product-detail/Magnesium-Hydroxide-Mg-oh-2_60684445752.html,,1.0,t,1000.0,1000.0,0.4
Mg(OH)2,Mg(OH)2 magnesium hydroxide,0.4,1.0 Kilograms,manufacturers price magnesium hydroxide food grade bulk magnesium hydroxide powder,https://www.alibaba.com/product-detail/manufacturers-price-magnesium-hydroxide-food-grade_1600426766010.html,,1.0,kg,1.0,1.0,0.4
Mg(OH)2,Mg(OH)2 magnesium hydroxide,0.3,25.0 Kilograms,Factory supply magnesium hydroxide price,https://www.alibaba.com/product-detail/Factory-supply-magnesium-hydroxide-price_60496937350.html,,25.0,kg,25.0,1.0,0.3
Mg(OH)2,Mg(OH)2 magnesium hydroxide,1250.0,1.0 Tons,food grade magnesium hydroxide powder Mg ( OH ) 2,https://www.alibaba.com/product-detail/food-grade-magnesium-hydroxide-powder-Mg_1600140093325.html,,1.0,t,1000.0,1000.0,1.25
Mg(OH)2,Mg(OH)2 magnesium hydroxide,1.0,1.0 Kilograms,High Purity AR grade 98% Magnesium hydroxide / Mg ( OH ) 2 CAS 1309-42-8 Magnesium hydroxide,https://www.alibaba.com/product-detail/High-Purity-AR-grade-98-Magnesium_1600438311796.html,,1.0,kg,1.0,1.0,1.0
Mg(OH)2,Mg(OH)2 magnesium hydroxide,900.0,1 Ton,Magnesium Hydroxide Mg ( OH ) 2 YJ- 2,https://www.alibaba.com/product-detail/Magnesium-Hydroxide-Mg-OH-2-YJ_254152716.html,,1.0,t,1000.0,1000.0,0.9
Ba(OH)2,Ba(OH)2 barium,100.0,1.0 Tons,Factory direct sale of white powder barium sulfate for feed medicine,https://www.alibaba.com/product-detail/Factory-direct-sale-of-white-powder_1600170995744.html,,1.0,t,1000.0,1000.0,0.1
Rh2O3,Rh2O3 rhodium oxide,11.0,1.0 Kilograms,China Supplier Rhodium Oxide / Rhodium (III) Oxide With CAS 12036-35-0,https://www.alibaba.com/product-detail/China-Supplier-Rhodium-Oxide-Rhodium-III_1600055901559.html,,1.0,kg,1.0,1.0,11.0
Sr(OH)2,Sr(OH)2,1250.0,1.0 Tons,food grade magnesium hydroxide powder Mg( OH ) 2,https://www.alibaba.com/product-detail/food-grade-magnesium-hydroxide-powder-Mg_1600140093325.html,,1.0,t,1000.0,1000.0,1.25
MnO2,MnO2 manganese oxide,30.0,1 Kilogram,Manganese Oxide Battery Cathode Materials Lithium Nickel Manganese Cobalt Oxide LiNiMnCoO2 NCM NMC 811 Powder,https://www.alibaba.com/product-detail/Manganese-Oxide-Battery-Cathode-Materials-Lithium_1600336676730.html?s=p,,1.0,kg,1.0,1.0,30.0
MnO2,MnO2 manganese oxide,59.0,1.0 Kilograms,LiNiMnCoO2/Lithium Nickel Manganese Cobalt Oxide /NMC for lithium battery cathode material,https://www.alibaba.com/product-detail/LiNiMnCoO2-Lithium-Nickel-Manganese-Cobalt-Oxide_1600218948900.html?s=p,,1.0,kg,1.0,1.0,59.0
MnO2,MnO2 manganese oxide,0.15,1.0 Kilograms,Hot selling Mno2 CAS 1313-13-9 Manganese dioxide 80-325mesh as Oxidant and catalyzer for many kinds of indutry,https://www.alibaba.com/product-detail/Hot-selling-Mno2-CAS-1313-13_1600463239159.html,,1.0,kg,1.0,1.0,0.15
MnO2,MnO2 manganese oxide,0.6,1.0 Kilograms,Hot Selling EMD electrolytic MnO2 manganese dioxide,https://www.alibaba.com/product-detail/Hot-Selling-EMD-electrolytic-MnO2-manganese_62577921837.html,,1.0,kg,1.0,1.0,0.6
Li2O,Li2O,600.0,1 Kilogram,Li2o Li2o Thermal Battery Materials Lithium Oxide Powder Li2O Powder,https://www.alibaba.com/product-detail/Li2o-Li2o-Thermal-Battery-Materials-Lithium_1600290287990.html?s=p,,1.0,kg,1.0,1.0,600.0
MnO2,MnO2 manganese oxide,80.0,1.0 Kilograms,Supply Nano Manganese dioxide Powder with MnO2 Nanoparticles with factory price,https://www.alibaba.com/product-detail/Supply-Nano-Manganese-dioxide-Powder-with_1600276746970.html,,1.0,kg,1.0,1.0,80.0
Li2O,Li2O,269.0,1 Kilogram,battery materials Lithium oxide Li2O and 99% purity Lithium oxide,https://www.alibaba.com/product-detail/battery-materials-Lithium-oxide-Li2O-and_1600284730280.html?s=p,,1.0,kg,1.0,1.0,269.0
Li2O,Li2O,100.0,1.0 Kilograms,Li2O Factory Direct 99% High-purity thermal battery material lithium oxide Li2O For Lab Using,https://www.alibaba.com/product-detail/Li2O-Factory-Direct-99-High-purity_1600300913950.html,,1.0,kg,1.0,1.0,100.0
Li2O,Li2O,50.0,1.0 Kilograms,Li2O reagent Lithium oxide with high purity CAS 12057-24-8,https://www.alibaba.com/product-detail/Li2O-reagent-Lithium-oxide-with-high_1600447731055.html,,1.0,kg,1.0,1.0,50.0
Li2O,Li2O,15.0,1.0 Kilograms,China Supplier Lithium Oxide Li2O with CAS NO 12057-24-8,https://www.alibaba.com/product-detail/China-Supplier-Lithium-Oxide-Li2O-with_1600087844096.html,,1.0,kg,1.0,1.0,15.0
Li2O,Li2O,600.0,1 Kilogram,Thermal Battery Materials Lithium Oxide Li2O powder,https://www.alibaba.com/product-detail/Thermal-Battery-Materials-Lithium-Oxide-Li2O_1600265901741.html,,1.0,kg,1.0,1.0,600.0
Li2O,Li2O,280.0,10.0 Kilograms,China Supplier Lithium Oxide Li2O with CAS NO 12057-24-8,https://www.alibaba.com/product-detail/China-Supplier-Lithium-Oxide-Li2O-with_1600272145102.html,,10.0,kg,10.0,1.0,280.0
FeSO4,Iron Sulfate FeSO4,40.0,27 Tons,High quality factory price Iron II Sulfate heptahydrate / ferrous sulphate /green vitriol,https://www.alibaba.com/product-detail/High-quality-factory-price-Iron-II_62519174736.html,,27.0,t,27000.0,1000.0,0.04
ZnSO4,ZnSO4 zinc sulphate,458.0,1.0 Metric Tons,Industrial grade Barium Sulphate (BASO4),https://www.alibaba.com/product-detail/Industrial-grade-Barium-Sulphate-BASO4-_60205407369.html,,1.0,t,1000.0,1000.0,0.458
ZnSO4,ZnSO4 zinc sulphate,80.0,20.0 Tons,High-Quality Hot-Selling zinc sulphate yap Zinc Sulphate for Fertilizer,https://www.alibaba.com/product-detail/High-Quality-Hot-Selling-zinc-sulphate_1600387588883.html,,20.0,t,20000.0,1000.0,0.08
ZnSO4,ZnSO4 zinc sulphate,500.0,25.0 Tons,China Good Quality Zinc Sulfate Monohydrate 98% Zinc Sulphate,https://www.alibaba.com/product-detail/China-Good-Quality-Zinc-Sulfate-Monohydrate_1600233921976.html,,25.0,t,25000.0,1000.0,0.5
ZnSO4,ZnSO4 zinc sulphate,1.0,1 Kilogram,Factory supply high purity Zinc Sulfate Monohydrate with best price CAS:7446-19-7 Zinc Sulfate,https://www.alibaba.com/product-detail/Factory-supply-high-purity-Zinc-Sulfate_1600408439554.html,,1.0,kg,1.0,1.0,1.0
ZnSO4,ZnSO4 zinc sulphate,850.0,10 Metric Tons,Zinc Sulphate Heptahydrate,https://www.alibaba.com/product-detail/Zinc-Sulphate-Heptahydrate_62003528496.html,,10.0,t,10000.0,1000.0,0.85
ZnSO4,ZnSO4 zinc sulphate,140.0,20 Tons,Best quality zinc sulphate heptahydrate price,https://www.alibaba.com/product-detail/Best-quality-zinc-sulphate-heptahydrate-price_60767266567.html,,20.0,t,20000.0,1000.0,0.14
ZnSO4,ZnSO4 zinc sulphate,550.0,25.0 Metric Tons,lowest price/ zinc sulphate 35%/monohydrate.H2O/heptahydrate.7H2O,https://www.alibaba.com/product-detail/lowest-price-zinc-sulphate-35-monohydrate_1221775886.html,,25.0,t,25000.0,1000.0,0.55
Ca(NO3)2,Calcum nitrate Ca(NO3)2,500.0,1.0 Tons,Fertilizer bulk price nitrate potassium making potassium nitrate with fast delivery and free sample kno3 powder,https://www.alibaba.com/product-detail/Fertilizer-bulk-price-nitrate-potassium-making_1600126777539.html,,1.0,t,1000.0,1000.0,0.5
NiSO4,NiSO4 nickel sulphate,1500.0,1 Ton,98% cuso4 equivalent weight of copper sulphate pentahydrate,https://www.alibaba.com/product-detail/98-cuso4-equivalent-weight-of-copper_60666814470.html,,1.0,t,1000.0,1000.0,1.5
NiSO4,NiSO4 nickel sulphate,1.0,1000.0 Kilograms,Sulphate Sulphate Ferrous Sulphate Monohydrate FeSO4 H2O,https://www.alibaba.com/product-detail/Sulphate-Sulphate-Ferrous-Sulphate-Monohydrate-FeSO4_1600124915895.html,,1000.0,kg,1000.0,1.0,1.0
NiSO4,NiSO4 nickel sulphate,1000.0,10.0 Tons,Factory Offer Directly Price 98% CuSO4 Copper Sulphate,https://www.alibaba.com/product-detail/Factory-Offer-Directly-Price-98-CuSO4_1600275005193.html,,10.0,t,10000.0,1000.0,1.0
NiSO4,NiSO4 nickel sulphate,4.0,1000.0 Kilograms,"Nickel Sulphate Sodium Industrial, Electron Grade CAS 7786-81-4",https://www.alibaba.com/product-detail/Nickel-Sulphate-Sodium-Industrial-Electron-Grade_60795932472.html,,1000.0,kg,1000.0,1.0,4.0
NiSO4,NiSO4 nickel sulphate,2.5,10000.0 Kilograms,Copper Sulfate/ sulphate Pentahydrate crystal feed grade,https://www.alibaba.com/product-detail/Copper-Sulfate-sulphate-Pentahydrate-crystal-feed_1600085719635.html,,10000.0,kg,10000.0,1.0,2.5
NiSO4,NiSO4 nickel sulphate,4.2,100 Kilograms,Manufacturers selling content is 98% blue nickel plated nickel ammonium sulfate price Ni(NH4)2(SO4)2.6H2O,https://www.alibaba.com/product-detail/Manufacturers-selling-content-is-98-blue_1600157188970.html,,100.0,kg,100.0,1.0,4.2
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,Strength chemical enterprise wholesale export fast delivery good quality full size calcium carbide (cac2) of size 50mm -80mm,https://www.alibaba.com/product-detail/Strength-chemical-enterprise-wholesale-export-fast_1600437575558.html,,25.0,t,25000.0,1000.0,0.95
NiSO4,NiSO4 nickel sulphate,200.0,25 Metric Tons,Manufacturers Direct Selling Chemical Fertilizer Manganese Sulphate,https://www.alibaba.com/product-detail/Manufacturers-Direct-Selling-Chemical-Fertilizer-Manganese_1600457351401.html,,25.0,t,25000.0,1000.0,0.2
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,Chemical Formula Cac2 Calcium Carbide Price In china,https://www.alibaba.com/product-detail/Chemical-Formula-Cac2-Calcium-Carbide-Price_1600430863888.html,,25.0,t,25000.0,1000.0,0.95
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,Quality certification export products calcium carbide drum 50kg,https://www.alibaba.com/product-detail/Quality-certification-export-products-calcium-carbide_1600444242518.html,,25.0,t,25000.0,1000.0,0.95
Ca(OH)2 ,Ca(OH)2 calcium hydrate,10.0,1.0 Kilograms,Calcium Copper Titanate CCTO,https://www.alibaba.com/product-detail/Calcium-Copper-Titanate-CCTO_60682595594.html,,1.0,kg,1.0,1.0,10.0
Ca(OH)2 ,Ca(OH)2 calcium hydrate,900.0,22.0 Metric Tons,Size1-25 / 25-50 / 50-80mm calcium carbide Cac2,https://www.alibaba.com/product-detail/Size1-25-25-50-50-80mm_1600338230886.html,,22.0,t,22000.0,1000.0,0.9
Ca(OH)2 ,Ca(OH)2 calcium hydrate,950.0,25 Tons,China Chemical Formula 15-25mm Calcium Carbide Cac2,https://www.alibaba.com/product-detail/China-Chemical-Formula-15-25mm-Calcium_1600424794630.html,,25.0,t,25000.0,1000.0,0.95
BaCO3,BaCO3 barium carbonate,0.2,1.0 Kilograms,Factory Supply 99.2% min BaCO3 Light Barium Carbonate,https://www.alibaba.com/product-detail/Factory-Supply-99-2-min-BaCO3_1600134465547.html,,1.0,kg,1.0,1.0,0.2
Ca(OH)2 ,Ca(OH)2 calcium hydrate,600.0,20.0 Tons,Calcium carbide manufacturer size 50-80mm 25-50mm 15-25mm 7-15mm 4-7mm 1-4mm,https://www.alibaba.com/product-detail/Calcium-carbide-manufacturer-size-50-80mm_62254094812.html,,20.0,t,20000.0,1000.0,0.6
BaCO3,BaCO3 barium carbonate,370.0,25.0 Tons,barium carbonate 99.2% min tech grade powder/ granular cas :513-77-9,https://www.alibaba.com/product-detail/barium-carbonate-99-2-min-tech_60242716318.html,,25.0,t,25000.0,1000.0,0.37
BaCO3,BaCO3 barium carbonate,360.0,1.0 Metric Tons,High Quality Cheap price Barium Carbonate BaCO3 99% for making barium salt,https://www.alibaba.com/product-detail/High-Quality-Cheap-price-Barium-Carbonate_60726382636.html,,1.0,t,1000.0,1000.0,0.36
BaCO3,BaCO3 barium carbonate,350.0,20 Tons,99% precipitated Barium Carbonate powder or granular,https://www.alibaba.com/product-detail/99-precipitated-Barium-Carbonate-powder-or_742040392.html,,20.0,t,20000.0,1000.0,0.35
BaCO3,BaCO3 barium carbonate,350.0,20 Tons,Guizhou Redstar Barium Carbonate Free Flowing Powder,https://www.alibaba.com/product-detail/Guizhou-Redstar-Barium-Carbonate-Free-Flowing_60487246754.html,,20.0,t,20000.0,1000.0,0.35
BaCO3,BaCO3 barium carbonate,6.0,10 Kilograms,Supply Barium Carbonate 99.9%min ( BaCO3 ) for electronic devices,https://www.alibaba.com/product-detail/Supply-Barium-Carbonate-99-9-min_62221047121.html,,10.0,kg,10.0,1.0,6.0
BaCO3,BaCO3 barium carbonate,330.0,25 Metric Tons,Industrial Grade Barium Carbonate price,https://www.alibaba.com/product-detail/Industrial-Grade-Barium-Carbonate-price_257420527.html,,25.0,t,25000.0,1000.0,0.33
MgCO3,MgCO3 magnesium carbonate,740.0,1 Ton,magnesium carbonate mgco3,https://www.alibaba.com/product-detail/magnesium-carbonate-mgco3_62122099449.html,,1.0,t,1000.0,1000.0,0.74
MgCO3,MgCO3 magnesium carbonate,380.0,1.0 Tons,Professional Factory Purity 99.3% Min MgCO3 Light Magnesium Carbonate CAS13717-00-5,https://www.alibaba.com/product-detail/Professional-Factory-Purity-99-3-Min_1600073515019.html,,1.0,t,1000.0,1000.0,0.38
