,Type  ,Class  ,Thermal storage material  ,Phase change temperature (degC) ,"Latent heat (kJ$kg
-1) ","-3)
Density (kg$m  ","Thermal conductivity (W$m
-1 K
-1)","Latent heat storage capacity (MJ$m
-3) ","Technical grade cost ($$kg
-1) ",Remarks  
29,,,Zn/Mg (52/48),340,180,,,,,
30,,,Zn/Al (96/4),381,138,6630(S),,914.9,,
31,,,Al/Mg/Zn (59/33/6),443,310,2380(S),,737.8,,
32,,,Al/Mg/Zn (60/34/6),450.3,329.1,,,,,
33,,,Mg/Cu/Zn (60/25/15),452,254,2800(S),,711.2,,
3,,,Mg/Ca (84/16),790,272,1380(S),,375.4,,
4,,,Mg/Si/Zn (47/38/15),800,314,,,,,
5,,,Cu/Si (80/20),803,197,6600(S),,1300.2,,
6,,,Cu/P/Si (83/10/7),840,92,6880(S),,633,,
7,,,Si/Mg/Ca (49/30/21),865,305,6880(S),,2098.4,,
8,,,Si/Mg (56/44),946,757,1900(S),,1438.3,,
9,,Salt eutectics,Na2SO4/H2O/NaCl/NH4Cl,13,146,,,,,
10,,,(32.5/41.4/6.66/6.16),,,,,,,
11,,,CaCl2$6H2O/CaBr2$6H2O (45/55),14.7,140,,,,,
12,,,Na2SO4$10H2O/NaCl (50/50),18,,,,,,
13,,,CaCl2$6H2O/MgCl2$6H2O (66.6/33.3),25,127,,,,,
14,,,CaCl2/MgCl2$6H2O (50/50),25,95,,,,,
15,,,CaCl2/NaCl/KCl/H2O (48/4.3/0.4/47.3),27,188,,,,,
16,,,Ca (NO3)2$4H2O/Mg (NO3)2$6H2O (47/,30,136,,,,,
17,,,53),,,,,,,
