,class,material,phase_change_T,sp_latent_heat,density,kth,vol_latent_heat,cost
73,Organic Eutectic,,,,"1450 (L, 120 degC)","0.570 (L, 120 degC)",,
74,Organic Eutectic,Mg(NO3)2$6H2O,89.0,0.045222222222222226,"1636 (S, 25 degC)","0.611 (S, 37 degC)",266.3,11.0
75,Organic Eutectic,,,,"1550 (L, 94 degC)","0.490 (L, 95 degC)",,
76,Organic Eutectic,Ba(OH)2$8H2O,78.0,0.07380555555555555,"2070 (S, 24 degC)","0.653 (L, 85.7 degC)",550,6.0
77,Organic Eutectic,,,,"1937 (L, 84 degC)","1.225 (S, 23 degC)",,
78,Organic Eutectic,Na2S2O3$5H2O,48.0,0.05555555555555555,1750(S),,350,5.0
79,Organic Eutectic,Na2HPO4$12H2O,36.0,0.07777777777777778,1520(S),"0.514(S), 0.476(L)",425.6,5.0
80,Organic Eutectic,Na2CO3$10H2O,36.0,0.06861111111111111,,,,15.0
81,Organic Eutectic,Na2SO4$10H2O,32.0,0.06972222222222223,,,,6.0
82,Organic Eutectic,CaCl2$6H2O,29.0,0.053000000000000005,"1802 (S, 24 degC)","0.540 (L, 38.7 degC)",343.8,6.0
83,Organic Eutectic,,,,"1562 (L, 32 degC)","1.088 (S, 23 degC)",,
84,Nitrate salts,NaNO3,306.0,0.04777777777777778,2261 (S),,388.9,6.0
85,Nitrate salts,KNO3,335.0,0.07388888888888889,2109(S),0.5,561,7.0
86,Nitrate salts,Ca(NO3)2,560.0,0.04027777777777778,2113(S),,306.4,
87,Nitrate salts,Mg (NO3)2,426.0,,,,,226.0
88,Carbonate salts,Na2CO3,854.0,0.07666666666666666,2533(S),,699.1,3.0
89,Carbonate salts,,,,1972(L),,,
90,Carbonate salts,K2CO3,897.0,0.06555555555555556,2290(S),,540.4,7.0
91,Carbonate salts,CaCO3,1330.0,0.03944444444444444,2930(S),,416.1,8.0
92,Carbonate salts,Li2CO3,732.0,0.1413888888888889,2110(S),,1074,111.0
93,Chloride salts,ZnCl2,280.0,0.020833333333333332,2907(S),0.5,218,14.0
94,Chloride salts,AlC13,192.0,0.07777777777777778,,,,
95,Chloride salts,NaCl,802.0,0.11666666666666667,2160(S),,907.2,2.8
96,Chloride salts,KCl,771.0,0.09805555555555556,1980(S),,698.9,7.6
97,Chloride salts,,,,1527(L),,,
98,Chloride salts,MgCl2,714.0,0.12555555555555556,2320(S),,1048.6,55.0
99,Chloride salts,,,,1680(L),,,
100,Chloride salts,LiCl,610.0,0.1225,2070(S),,912.9,55.0
101,Chloride salts,,,,1502(L),,,
102,Chloride salts,CaCl2,772.0,0.07027777777777777,2150(S),,544,5.3
103,Chloride salts,,,,2085(L),,,
104,Sulfate salts,Na2SO4,884.0,0.04583333333333333,2680(S),,442.2,3.4
105,Sulfate salts,Li2SO4,858.0,0.023333333333333334,2220(S),,186.5,180.0
106,Sulfate salts,,,,2003(L),,,
107,Sulfate salts,K2SO4,1069.0,0.058888888888888886,2660(S),,563.9,8.25
108,Sulfate salts,MgSO4,1130.0,0.03388888888888889,2660(S),,324.5,13.7
109,Sulfate salts,CaSO4,1460.0,0.05638888888888889,2320(S),,471,27.0
110,Fluoride salts,LiF,850.0,0.29,2640(S),,2756.2,220.0
111,Fluoride salts,,,,1810(L),,,
112,Fluoride salts,NaF,996.0,0.22055555555555556,2558(S),,2031.1,7.6
113,Fluoride salts,,,,1948(L),,,
114,Fluoride salts,KF,858.0,0.13,2370(S),,1109.2,203.0
115,Fluoride salts,,,,1910(L),,,
116,Fluoride salts,CaF2,1418.0,0.10861111111111112,3180(S),,1243.4,11.4
117,Fluoride salts,,,,1910(L),,,
118,Hydroxides,NaOH,318.0,0.04583333333333333,2100(S),,346.5,4.1
119,Hydroxides,KOH,380.0,0.041666666666666664,2040(S),,306,5.0
120,Hydroxides,LiOH,462.0,0.2425,1460(S),,1274.6,165.0
121,Metals,Copper,1084.0,0.057777777777777775,8960(S),401,1863.7,84.0
122,Metals,,,,8020(L),,,
123,Metals,Zinc,419.0,0.03138888888888889,7140(S),116,806.8,10.0
124,Metals,Aluminum,660.0,0.11027777777777778,2707(S),204,1074.7,25.0
125,Metals,,,,2375(L),,,
126,Alloys,Zn/Mg (53.7/46.3),340.0,0.05138888888888889,4600(S),,851,
127,Alloys,Zn/Mg (52/48),340.0,0.05,,,,
128,Alloys,Zn/Al (96/4),381.0,0.03833333333333333,6630(S),,914.9,
129,Alloys,Al/Mg/Zn (59/33/6),443.0,0.08611111111111111,2380(S),,737.8,
130,Alloys,Al/Mg/Zn (60/34/6),450.3,0.09141666666666667,,,,
131,Alloys,Mg/Cu/Zn (60/25/15),452.0,0.07055555555555555,2800(S),,711.2,
132,Alloys,Mg/Ca (84/16),790.0,0.07555555555555556,1380(S),,375.4,
133,Alloys,Mg/Si/Zn (47/38/15),800.0,0.08722222222222223,,,,
134,Alloys,Cu/Si (80/20),803.0,0.05472222222222222,6600(S),,1300.2,
135,Alloys,Cu/P/Si (83/10/7),840.0,0.025555555555555557,6880(S),,633,
136,Alloys,Si/Mg/Ca (49/30/21),865.0,0.08472222222222223,6880(S),,2098.4,
137,Alloys,Si/Mg (56/44),946.0,0.21027777777777779,1900(S),,1438.3,
138,Salt Organic Eutectic,Na2SO4/H2O/NaCl/NH4Cl,13.0,0.04055555555555555,,,,
139,Salt Organic Eutectic,(32.5/41.4/6.66/6.16),,,,,,
140,Salt Organic Eutectic,CaCl2$6H2O/CaBr2$6H2O (45/55),14.7,0.03888888888888889,,,,
141,Salt Organic Eutectic,Na2SO4$10H2O/NaCl (50/50),18.0,,,,,
142,Salt Organic Eutectic,CaCl2$6H2O/MgCl2$6H2O (66.6/33.3),25.0,0.035277777777777776,,,,
143,Salt Organic Eutectic,CaCl2/MgCl2$6H2O (50/50),25.0,0.02638888888888889,,,,
144,Salt Organic Eutectic,CaCl2/NaCl/KCl/H2O (48/4.3/0.4/47.3),27.0,0.052222222222222225,,,,
145,Salt Organic Eutectic,Ca (NO3)2$4H2O/Mg (NO3)2$6H2O (47/,30.0,0.03777777777777778,,,,
146,Salt Organic Eutectic,53),,,,,,
