,specific_price,specific_price_std,specific_price_rat,vol_price,num_SMs,num_source,sources,specific_prices,molecular_formula,mu,original_names,specific_price_element
Fe,0.5329552210935168,0.20431156448724236,0.38,,5,3,"USGS, Steinmann 2022, Alibaba","0.21, 0.53, 0.59",Fe,55.845,"Cast iron, Iron and Steel Scrap , Iron and Steel Slag ",0.424
FeCl2,2.002906869838823,1.4679304325871088,0.73,,2,3,"Li 2017, Alibaba, Indiamart","3.12, 2.0, 0.21",FeCl2,126.745,FeCl2,0.2326883
FeCr,3.004020328379169,,,,0,1,USGS,3.0,FeCr,107.8411,Chromium Ferrrochromium,4.7518212
FeMn,1.3469715633758732,,,,0,1,DERA,1.35,,,MANGAN,1.1162856
FeMo,39.028571013487564,12.780095754676017,0.33,,0,2,"DERA, SMM","48.07, 29.99",FeMo,151.795,"Ferro-molybdenum 60%, MOLYBDAN",25.5032991
FeNb,38.536796519270986,,,,0,1,SMM,38.54,FeNb,148.75137,"Ferroniobium 60A, Ferroniobium 60B",46.0654344
FeSO4,0.15855111898359583,0.08878713708030779,0.56,,2,2,"Alibaba, Indiamart","0.1, 0.22",FeSO4,151.901,,0.240304
FeSi,1.9696198973494388,,,,0,1,DERA,1.97,,,SILIZIUM,0.8509803
FeSi2,2.676097012450315,,,,0,1,USGS,2.68,FeSi2,112.015,"Silicon FeSi2_50, Silicon FeSi2_75",1.0638511
FeTi,12.524474298234383,,,,0,1,DERA,12.52,,,Ferrotitan,5.489838
FeTiO3,0.4495113078893466,0.025487549530936255,0.06,,0,3,"DERA, USGS, ISE","0.42, 0.45, 0.47",FeTiO3,151.709,"Ilmenite Conc, Ilmenite Reduced, Rutile Conc, Titanium Slag, Ilmenite concentrate, Titanium Mineral Concentrates Ilmenite, Titanium Mineral Concentrates Ilmente_Leucoxene",3.80171
FeV,26.97575969169263,,,,0,1,SMM,26.98,FeV,106.7865,50 Ferrovanadium,177.2038112
Feldspar,0.1260354647244804,,,,0,1,USGS,0.13,AlKO8Si3,278.3268384,Feldspar and Nepheline Syenite Feldspar,
Fossil CH4,0.33224045150911263,,,,1,1,EIA Henry Hub,0.33,CH4,16.043,,
GRE,25.2039856956333,13.823250809088828,0.55,,6,2,"Kale 2018, Alibaba","34.98, 15.43",,,"E-Glass Epoxy, S-2 Glass Epoxy",
Ga,358.92513393176796,323.11712727713217,0.9,,6,6,"DERA, USGS, Kim 2013, Alibaba, Indiamart, ISE","437.7, 280.15, 950.29, 440.86, 5.95, 180.21",Ga,69.723,"GALLIUM, Ga, Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import, Gallium metal",148.0
Ge,1410.0330112457727,56.48725480538388,0.04,,0,2,"USGS, ISE","1449.98, 1370.09",Ge,72.63,"Germanium Metal, Germanium metal",962.0
GeO2,929.6060137481446,103.60856004171525,0.11,,0,2,"USGS, ISE","1002.87, 856.34",GeO2,104.628,"Germanium GeO2, Germanium dioxides",667.8421426
Graphene,960.4579865408967,306.7656344431327,0.32,,4,3,"Alibaba, Cheaptubes, Graphene supermarket","960.46, 450.0, 1000.0",,,Electrically Conductive Granulated Graphene: 100 Grams,
Graphene Oxide,162500.0,103826.1590861997,0.64,,2,3,"Alibaba, Cheaptubes, Graphene supermarket","213.34, 162500.0, 193548.0",,,Ultra Highly Concentrated Single-Layer Graphene Oxide,
Graphite,2.3041912276141834,7.921756177531736,3.44,,14,8,"DERA, USGS, Liu 2016, Li 2017, Schnell 2020, Steinmann 2022, Alibaba, Indiamart","1.54, 1.89, 2.71, 14.78, 22.03, 3.85, 0.85, 0.86",C6,72.066,"Expanded Natural, GRAPHIT, Graphite, Graphite (Natural) Amorphous, Graphite (Natural) Flake, Graphite (Natural) Lump",
Gravel,0.034766181191691045,,,,2,1,USGS,0.03,C15H21NO,231.339,"Sand and Gravel (Construction) , Sand and Gravel (Industrial) ",
H2SO4,0.24639370117649967,,,,0,1,Li 2017,0.25,H2SO4,98.072,H2SO4,0.1593358
H3N,0.8839377669722602,0.5067486580369871,0.57,,0,3,"USGS, Liu 2016, Liu 2016","0.39, 0.88, 1.4",H3N,17.031,"Anhydrous, Nitrogen (Fixed)--Ammonia , Silica Gel",0.3619482
HBr,3.043330203309289,1.0937167001583845,0.36,,2,3,"Li 2017, Alibaba, Indiamart","4.1, 1.92, 3.04",HBr,80.912,HBr,4.3526261
HCl,0.8007795288236239,,,,1,1,Li 2017,0.8,HCl,36.458,HCl,0.1181639
HITEC,1.4212139229160448,,,,2,1,Steinmann 2022,1.42,,,HITEC,
HITEC XL,1.3027794293397077,0.4472911696250495,0.34,,1,3,"Alva 2018, Antunez 2018, Steinmann 2022","1.44, 0.6, 1.3",(NaNO3)7(KNO3)45(Ca(NO3)2)48,5268.567885,"HITEC XL, HITEC XL, NaNO3e KNO3eCa(NO3)2, Hitec XL",
Hf,1.0733733834607546,,,,0,1,USGS,1.07,Hf,178.486,Zirconium and Hafnium Hf_unwrought,900.0
Hg,29.36291009936873,39.052409420254115,1.33,,6,2,"USGS, Kim 2013","56.98, 1.75",Hg,200.592,"Hg, Mercury EU, Mercury Global",30.2
I2,31.151501804675238,,,,0,1,USGS,31.15,I2,253.80894,Iodine Crude_CIF,35.0
In,316.9802176649788,260.2166162932514,0.82,,6,5,"USGS, Kim 2013, Alibaba, Indiamart, ISE","316.98, 837.3, 223.46, 345.83, 200.57",In,114.818,"In, Indium FOB, Indium NY, Indium Rotterdam, Indium ingot",167.0
Ir,2.7593677394081393,,,,0,1,USGS,2.76,Ir,192.217,Platinum-Group Metals Iridium,55850.0
Iron Ore,0.11779145108101044,0.02317857806104342,0.2,,3,4,"DERA, USGS, Olympios 2021, Focus econ","0.12, 0.12, 0.16, 0.11","Fe, Fe2O3",55.845,"EISENERZ, Iron Ore , Iron Ore CFR China, Magnetite",
Iron Oxide Pigment,1.2322731337965056,,,,0,1,USGS,1.23,Fe2O3,159.687,Iron Oxide Pigments ,
Isopentane,1.005154627352212,0.6268061731799731,0.62,,1,2,"Antunez 2018, Echemi","1.45, 0.56",C5H12,72.151,Isopentane,
K,96.25049857542506,103.53768847489276,1.08,,17,2,"Kim 2013, SMM","169.46, 23.04",K,39.0983,"K, Potassium",12.85
K2CO3,1.385055260330355,2.9365462370161537,2.12,,6,6,"Alva 2018, Liu 2016, Ray 2021, Alibaba, Echemi, Indiamart","8.45, 1.39, 1.39, 0.84, 1.38, 1.38",K2CO3,138.2046,K2CO3,7.3346559
K2O,1.0879861402977076,,,,0,1,USGS,1.09,K2O,94.1956,Potash All,10.6936009
K2SO4,0.5889355776210394,4.7215041296675935,8.02,,1,4,"Alva 2018, Alibaba, Echemi, Indiamart","9.96, 0.37, 0.59, 0.58",K2SO4,174.2526,K2SO4,5.8400876
K4Fe(CN)6,3.6060173580487134,1.6151455150341931,0.45,,6,2,"Li 2017, Alibaba","2.46, 4.75",C6FeK4N6,368.3462,,5.575974
KCl,0.5834293153937951,3.519527531223947,6.03,,9,6,"USGS, Alva 2018, Ray 2021, Alibaba, Echemi, Indiamart","0.61, 9.17, 0.57, 0.59, 0.57, 0.42",KCl,74.5483,"KCl, Potash Muriate",6.7784249
KF,125.84913622083245,168.52813168614279,1.34,,8,2,"Alva 2018, Ray 2021","245.02, 6.68",KF,58.0967032,KF,9.3019041
KFRP,38.19936942128568,,,,3,1,Kale 2018,38.2,,,Kevlar-49 Epoxy,
KNO3,0.8334042710600824,3.8715448292440144,4.65,,5,4,"Alva 2018, Steinmann 2022, Alibaba, Indiamart","8.45, 0.95, 0.48, 0.72",KNO3,101.1023,KNO3,5.0618598
KOH,1.4858797523055474,2.17751137506285,1.47,,1,5,"Alva 2018, Li 2017, Alibaba, Echemi, Indiamart","6.03, 1.01, 0.83, 1.49, 1.52",KOH,56.1053,KOH,9.0237129
LCO,41.843499241410456,10.515018653070905,0.25,,3,2,"Li 2017, ISE","49.28, 34.41",LiCoO2,97.871194,"LCO, Lithium Cobaltate",
LFP,16.80085722629812,6.337334454569344,0.38,,1,2,"Li 2017, Alibaba","12.32, 21.28",LiFePO4,157.754762,LFP,
LH2 Tank,,,,1874.3,1,2,"HDSAM 2015, Hurskainen 2019","nan, nan",,,,
LMNO,38.92222180103905,20.199002560012232,0.52,,2,2,"Li 2017, Alibaba","24.64, 53.21",LiMn1.5Ni0.5O4,182.6897645,LNMO,
LMO,12.319685058824984,2.6599866826381273,0.22,,3,3,"Li 2017, Alibaba, ISE","12.32, 13.3, 8.28",LiMn2O4,180.812086,"LMO, Lithium manganates",
LMP,12.319685058824984,,,,1,1,Li 2017,12.32,LiMnPO4,156.847805,LMP,
LNG Tank,,,,872.0,3,2,"Hurskainen 2019, Fikri 2018","nan, nan",,,,
LRC,,,,183.8070293408558,3,2,"Lord 2014, Papadias 2021","nan, nan",,,,
LTO,31.33409410328765,23.405902012317654,0.75,,1,2,"Li 2017, Alibaba","14.78, 47.88",Li4Ti5O12,459.083,LTO,
La,6.112665705250445,,,,2,1,ISE,6.11,La,138.90547,Lanthanum metal,4.85
La2O3,2.3723544856114964,2.5560919905683592,1.08,,0,3,"DERA, DERA, USGS","1.44, 6.26, 2.37",La2O3,325.80794,"Lanthanum (oxide), Rare Earths La2O3",4.1582001
LaNi5,48.75470052960206,51.4397796955747,1.06,,1,2,"Li 2017, Alibaba","12.38, 85.13",LaNi5,432.37247,LaNi5,10.9925658
Li,99.77738000142341,188.93319362709224,1.89,,26,6,"Kim 2013, Li 2017, Schnell 2020, Alibaba, ISE, SMM","80.5, 61.66, 150.76, 0.53, 119.06, 527.91",Li,6.94,"Li, Lithium, Lithium Metal, Lithium metal",83.5
Li2CO3,54.58308488767482,39.91315818438556,0.73,,3,11,"DERA, DERA, USGS, Alva 2018, Liu 2016, Ray 2021, Alibaba, Echemi, Indiamart, ISE, SMM","72.69, 72.87, 18.26, 133.97, 8.84, 8.89, 54.58, 84.02, 49.8, 13.36, 84.19",Li2CO3,73.888,"LITHIUM, Li2CO3, Lithium , Lithium Carbonate (99.5% Battery Grade), Lithium Carbonates",15.8055013
Li2O,106.41014696885627,,,,1,1,Alibaba,106.41,Li2O,29.879,,38.8715769
Li2S,1278.0736541792753,1804.2110569672275,1.41,,1,2,"Li 2017, Alibaba","2.3, 2553.84",Li2S,45.94,Li2S,25.2927461
Li2SO4,5.320507348442813,123.61310310227088,23.23,,1,3,"Alva 2018, Li 2017, Alibaba","217.26, 1.05, 5.32",Li2SO4,109.936,Li2SO4,10.6589665
LiCl,32.709469521232,30.91551572031581,0.95,,1,4,"Alva 2018, Ray 2021, Alibaba, Indiamart","66.38, 10.09, 5.85, 55.33",LiCl,42.39,LiCl,13.7390163
LiF,13.838746023446728,128.4566360125123,9.28,,5,4,"Alva 2018, Ray 2021, Steinmann 2022, Alibaba","265.54, 0.04, 6.4, 21.28",LiF,25.9384032,LiF,23.8058913
LiNO3,57.461479363182384,55.6800690164642,0.97,,4,2,"Alibaba, Indiamart","18.09, 96.83",,,,8.5408813
LiOH,36.72394968658232,73.48667837960838,2.0,,1,6,"Alva 2018, Li 2017, Alibaba, Echemi, Indiamart, ISE","199.15, 3.28, 6.43, 77.22, 46.0, 27.45",LiOH,23.947,"LiOH, LiOH H2O, Lithium hydroxides_monohydrates",24.3602525
Metallurgical Silicon,3.1503359067373937,0.9638265039850777,0.31,,8,6,"USGS, Ray 2021, Alibaba, Echemi, Indiamart, ISE","3.1, 3.4, 1.44, 3.2, 4.12, 2.1",Si,28.085,"Silicon (Si), Silicon Si, Silicon metal",
Methanol,0.3905433291006872,0.1752719100700732,0.45,,1,3,"Antunez 2018, Chemanalyst, Echemi","0.36, 0.68, 0.39",CH3OH,32.042,Methanol,
Mg,3.6251433273006946,2.5809839186040384,0.71,,27,6,"USGS, Kim 2013, Li 2017, Alibaba, Indiamart, ISE","1.97, 3.69, 2.99, 7.24, 3.56, 8.47",Mg,24.305,"Magnesium Ingot, Magnesium Powder, Manganese flakes, Mercury metal, Magnesium Metal European, Magnesium Metal US_spot, Mg",2.32
Mg(NO3)2,0.5533327642380526,157.26065023349864,284.21,,0,3,"Alva 2018, Alibaba, Indiamart","272.78, 0.23, 0.55",Mg(NO3)2,148.313,Mg (NO3)2,0.5063119
Mg(OH)2,0.9481144094925092,0.8893762375332525,0.94,,0,2,"Alibaba, Indiamart","0.32, 1.58",Mg(OH)2,58.319,,1.0994278
MgCO3,0.5320507348442813,0.6439093742498407,1.21,,1,5,"DERA, DERA, Alibaba, Echemi, Indiamart","0.46, 0.15, 0.53, 1.04, 1.8",MgCO3,84.313,MAGNESIT,0.7738365
